id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop
615961;21/07/2024;domingo;17:18:00;SC;101;213,8;PALHOCA;Trafegar com motocicleta (ou similar) entre as faixas;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Reta;Sim;3;0;1;1;1;0;2;2;-27,63697369;-48,66514142;SPRF-SC;DEL01-SC;UOP02-DEL01-SC
615962;21/07/2024;domingo;16:25:00;SE;235;81;FREI PAULO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Curva;Interseção de Vias";Sim;2;0;1;0;1;0;1;2;-10,554296;-37,633732;SPRF-SE;DEL01-SE;UOP02-DEL01-SE
615963;21/07/2024;domingo;17:20:00;PR;376;4;APUCARANA;Reação tardia ou ineficiente do condutor;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;12;0;0;0;12;0;0;2;-23,55520197;-51,44433439;SPRF-PR;DEL07-PR;UOP03-DEL07-PR
615964;21/07/2024;domingo;16:30:00;DF;20;7;BRASILIA;Ingestão de álcool pelo condutor;Colisão traseira;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;"Reta;Declive";Sim;5;0;0;0;5;0;0;2;-15,662208;-47,799866;SPRF-DF;DEL02-DF;UOP01-DEL02-DF
615965;21/07/2024;domingo;16:30:00;DF;20;7;BRASILIA;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;1;0;1;1;-15,662208;-47,799866;SPRF-DF;DEL02-DF;UOP01-DEL02-DF
615967;21/07/2024;domingo;16:00:00;RS;386;257;SOLEDADE;Animais na Pista;Atropelamento de Animal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Em Obras;Reta";Não;5;0;2;1;2;0;3;2;-28,876074;-52,433834;SPRF-RS;DEL04-RS;UOP03-DEL04-RS
615968;21/07/2024;domingo;15:30:00;RJ;493;73;NOVA IGUACU;Ausência de reação do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Curva;Não;2;0;2;0;0;0;2;1;-22,687303;-43,517313;SPRF-RJ;DEL01-RJ;UOP03-DEL01-RJ
615969;21/07/2024;domingo;15:20:00;MG;40;718,7;BARBACENA;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Declive;Não;2;0;1;0;1;0;1;2;-21,2656332;-43,65557499;SPRF-MG;DEL05-MG;UOP01-DEL05-MG
615970;21/07/2024;domingo;14:40:00;MT;163;747;SORRISO;Acessar a via sem observar a presença dos outros veículos;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Rotatória;Retorno Regulamentado";Sim;39;0;0;2;36;1;2;3;-12,69420885;-55,80767215;SPRF-MT;DEL06-MT;UOP01-DEL06-MT
615971;21/07/2024;domingo;17:30:00;SP;381;65;MAIRIPORA;Mal súbito do condutor;Saída de leito carroçável;Com Vítimas Feridas;Anoitecer;Decrescente;Céu Claro;Múltipla;Reta;Não;1;0;1;0;0;0;1;1;-23,316547;-46,58251;SPRF-SP;DEL03-SP;UOP01-DEL03-SP
